epoch,loss,noise_loss,pred_loss,f1,mae,precision,recall
1,0.5947952895641327,0.0,0.5947952895641327,0.43199289048422584,0.16733590985536576,0.6054544769744211,0.2209689280973515
2,0.5716704863548279,0.0,0.5716704863548279,0.6875820043562395,0.12891289400458336,0.8587118310107437,0.41313860577684947
3,0.5645429967880249,0.0,0.5645429967880249,0.6867637583205887,0.12891299406588078,0.846752659565272,0.4213756468756478
4,0.5612305307865143,0.0,0.5612305307865143,0.6924082573033788,0.1284778979718685,0.8437610122527552,0.4333160326915212
5,0.5583019632816315,0.0,0.5583019632816315,0.701433360098991,0.12702684623599053,0.85323178354508,0.44031309306111516
6,0.5567203618049622,0.0,0.5567203618049622,0.6966506250985338,0.12761827875077725,0.8427222010883668,0.4415394298870949
7,0.5552996075153351,0.0,0.5552996075153351,0.7023953715308834,0.1267720621585846,0.8473786635183158,0.4472942033448505
8,0.5537991800785065,0.0,0.5537991800785065,0.7052893947303782,0.12614920934438706,0.8495339539120258,0.4503834858872804
9,0.5528580302715301,0.0,0.5528580302715301,0.6995003537347285,0.12824579879939557,0.8451991185712574,0.4442363144275095
10,0.5524035681247711,0.0,0.5524035681247711,0.7009718143522801,0.12733938771486283,0.8408432864901835,0.45093395627154853
11,0.5506835464954376,0.0,0.5506835464954376,0.7020176923490188,0.12676538540124893,0.837618611027276,0.4559655723547846
12,0.5500304904937744,0.0,0.5500304904937744,0.7054388122911861,0.12734378498196602,0.8417199271777954,0.45816847631300417
13,0.5492827990055085,0.0,0.5492827990055085,0.6992599034209525,0.1277368176281452,0.8351696023131986,0.4533455516308663
14,0.5485511449337006,0.0,0.5485511449337006,0.7061619835146109,0.12695048522949218,0.8384210494396317,0.4628063764114847
15,0.5481983467102051,0.0,0.5481983467102051,0.7028647479572425,0.12775190118551255,0.8342888111900846,0.4608664505950476
16,0.5472909487247467,0.0,0.5472909487247467,0.6992406971550018,0.12767044014930726,0.8296031512689443,0.45888125142979824
17,0.5469959702968598,0.0,0.5469959702968598,0.70073371193061,0.1267111214071512,0.830130583335385,0.4611351037299926
18,0.5464328204154968,0.0,0.5464328204154968,0.7011172043577125,0.12658977406322955,0.8258505127645378,0.46633766795148174
19,0.5460143702507019,0.0,0.5460143702507019,0.7032755039577111,0.12666739181876183,0.830449513072768,0.46560274592344947
20,0.5458421832084656,0.0,0.5458421832084656,0.7020598827213625,0.12690931316316129,0.8310471069868031,0.46268258729919415
21,2.4921978322982787,1.7977670831680297,0.694430749130249,0.7632867130221985,0.10813800623118877,0.8348791100487902,0.5936096899616162
22,2.483535228061676,1.7977670867919922,0.6857681412696839,0.7756509594932315,0.10383509466648101,0.833397192659358,0.630115033500582
23,2.481868711090088,1.7977670946121216,0.6841016164779663,0.77381861337086,0.1045778115183115,0.8264747982965864,0.6382679730977626
24,2.48101193523407,1.797767092514038,0.6832448427200317,0.7754203303127298,0.10329900615513325,0.8235039957754592,0.6490880792674072
25,2.4804924536705015,1.7977670949935913,0.6827253586769104,0.7713184879373067,0.10453814239501953,0.8171377248929161,0.6498545161729288
26,2.4801603523254396,1.797767087173462,0.6823932651519775,0.7729534478610814,0.10348621226251126,0.8159294120354509,0.6575134235979496
27,2.4798023419380186,1.7977670896530151,0.6820352522850036,0.771533387592219,0.10309236856400966,0.8114753801491291,0.6627886636138461
28,2.4795406171798704,1.7977670852661132,0.6817735319137573,0.7688905959114323,0.10477046628594398,0.8093975124992793,0.6589629206929749
29,2.479285248661041,1.7977670825958252,0.6815181660652161,0.7648527736916769,0.10594498407244682,0.8038372211001144,0.6584137446326385
30,2.4790131238937376,1.7977670837402344,0.6812460401535034,0.7632519079980072,0.10585993891954422,0.8005719236044825,0.6606016877075388
31,2.478911273097992,1.7977670850753784,0.6811441880226136,0.7652516996195952,0.1057066445440054,0.8026843173878209,0.6622988918549187
32,2.4787666281700136,1.7977670808792114,0.680999547290802,0.7639150004679224,0.10633445854783058,0.8003178124931571,0.6633405351969751
33,2.4785589315414427,1.7977670797348022,0.6807918518066406,0.7636232562361939,0.10621220207810401,0.7998000367007597,0.6635734521263427
34,2.478418178272247,1.7977670768737792,0.6806511013984681,0.7605858146523706,0.10661730110645294,0.7950919078589317,0.6644627048602267
35,2.4783767601013182,1.797767075920105,0.6806096841812134,0.7618793816090447,0.10648399703800679,0.7959140779848763,0.6668299475589827
36,2.478177597427368,1.7977670778274537,0.6804105195999145,0.7591209920205766,0.10707226242423057,0.79332694790026,0.663727627775976
37,2.4781361968040465,1.797767080116272,0.6803691166877747,0.7571887973692273,0.10818887532651425,0.7894394988061314,0.6664364623054154
38,2.4780316006660463,1.7977670804977417,0.6802645201683044,0.7566412782084485,0.1085807749837637,0.7887467556787167,0.6662443209213255
39,2.477955284023285,1.7977670755386352,0.6801882084846497,0.7552822910747539,0.10765357743799686,0.7863603899023918,0.6673648770067776
40,2.4778413499832155,1.7977670818328857,0.6800742681503296,0.7575645711634118,0.10776224083304405,0.7888365475205236,0.6691416040812326
41,2.142829603672028,1.4627676080703735,0.680061995601654,0.7539197177504393,0.10807119743525982,0.7844683898581689,0.6673000009650971
42,2.1426909039497377,1.4627676038742066,0.679923300075531,0.756489013364622,0.10781376706361771,0.7863483164546419,0.671495365237726
43,2.1426462147712706,1.46276760597229,0.6798786087989808,0.7572626505948177,0.10723216916620731,0.7864901401133287,0.6737972964620536
44,2.1425632898330687,1.4627676021575928,0.679795687675476,0.7558473784362069,0.10795061248540878,0.7859152239830942,0.6703580014874968
45,2.1425357528686524,1.4627676078796388,0.6797681449890137,0.7574862188995573,0.10801859475672244,0.7875177858005955,0.6720576911204537
46,2.1424538311958314,1.462767607498169,0.6796862236976624,0.7530127460753274,0.10895967876315117,0.7821551765798364,0.6698226850950074
47,2.142379747104645,1.462767601585388,0.6796121455192566,0.7530951630146857,0.10964106690883636,0.782817686370124,0.668489681563551
48,2.142353567123413,1.4627676067352295,0.6795859603881836,0.7540241558191632,0.10885802881717682,0.7824061474320946,0.6726847591590049
49,2.1422928463935853,1.462767603111267,0.6795252432823181,0.7544143701477792,0.10927265022695065,0.7832957236299293,0.6718415037022142
50,2.142267397785187,1.4627676052093506,0.6794997925758361,0.753653118617486,0.10895453898906708,0.7810481702773909,0.6747627233442209
51,2.1421762293815614,1.462767608642578,0.6794086207389831,0.7503865046075363,0.1091207542449236,0.777880770400345,0.6712963992470656
52,2.1421104338645933,1.4627676069259643,0.6793428269386291,0.7508007189877904,0.1098702731192112,0.7784142752482718,0.6714086324687553
53,2.1420686210632325,1.462767605781555,0.6793010152816773,0.75097133681963,0.11092906229794025,0.7784564381323641,0.6718955474780356
54,2.1420457600593568,1.4627676008224488,0.6792781592369079,0.7501591308040054,0.11029990805983543,0.7768140022824234,0.6731646500251856
55,2.1419823075294495,1.4627676040649413,0.6792147034645081,0.7475261067350769,0.1113167859941721,0.7738042302711905,0.6715117520061646
56,2.142048725605011,1.4627676013946533,0.6792811242103577,0.7532930175360321,0.10931007683873177,0.7788925609146581,0.6789143496033871
57,2.1418941427230833,1.46276760597229,0.6791265367507935,0.7507979434563576,0.10976116669476033,0.7767723373952882,0.6755042653673757
58,2.141860009384155,1.4627676025390626,0.6790924068450928,0.7496443392462772,0.11033607960939407,0.7756739732547134,0.6742266061830897
59,2.1417856919288636,1.4627676034927368,0.6790180884361267,0.7471160085567734,0.11176808043122291,0.7734834416435586,0.6708831096543042
60,2.1417892943382264,1.462767608833313,0.6790216855049134,0.7518788900045186,0.11002928542792798,0.778146061145232,0.6758338542512913
61,1.9480702575683593,1.2690512168884278,0.6790190406799317,0.7484659382768967,0.11130566219687461,0.7746846017266801,0.6725883197916159
62,1.9480836839675904,1.269051217651367,0.6790324663162232,0.751724566972454,0.10950980993807316,0.7784311968470821,0.6745790888991087
63,1.9480131555557252,1.2690512161254883,0.6789619394302369,0.7462099067615386,0.11210290128290654,0.7707267217553514,0.6746721732355432
64,1.9479687777519226,1.2690512128829956,0.678917564868927,0.749690745034892,0.11096345808207989,0.7759130471235609,0.6737876392835319
65,1.9479277864456177,1.2690512153625488,0.6788765710830689,0.7484047235814979,0.11154246434271335,0.7750227581006346,0.6715264857438913
66,1.947895976448059,1.2690512170791626,0.6788447593688964,0.7490215796643889,0.11065731371343136,0.775119159261896,0.6734410251633137
